voltage_V,temperature_C,current_A,fault
939.7903,108.3913,36.4396,1
1043.2498,38.7353,-5.8461,0
972.0171,108.2849,20.7918,1
1180.0414,41.8011,42.6080,1
959.3479,55.8837,-39.4234,0
762.4214,62.5448,-29.6334,1
1009.1901,79.8195,-31.0902,1
1006.2750,43.9409,-79.2921,0
954.6052,30.3749,-59.7026,0
1019.9315,60.5130,-58.8520,0
1159.4530,50.1394,-53.3206,1
1009.0294,86.3149,55.7671,1
1080.2119,98.7505,15.0824,1
996.7721,33.0660,-25.9761,0
954.0775,111.7820,-47.9395,1
989.1610,52.9896,6.9667,0
946.2506,53.2691,36.4252,0
1022.1627,123.0078,-24.5778,1
961.8409,112.0447,-48.4350,1
810.8792,50.8418,-62.6342,1
1002.7898,57.3504,71.4329,0
1034.5792,32.3766,42.3978,0
1004.7257,31.1146,-77.2625,0
982.2275,31.8918,-73.3296,0
1199.6713,46.0733,76.7675,1
991.0453,98.3461,-19.5201,1
1014.5400,31.0522,16.8115,0
966.7365,41.6828,62.8433,0
952.4066,124.2760,-44.7343,1
986.3107,51.1165,77.0330,0
981.4787,98.0088,-36.9085,1
994.2985,28.9830,-42.5551,0
1207.7493,66.5226,-16.4529,1
1013.2833,96.5396,28.9968,1
1043.7852,48.5252,-14.9695,0
1018.5063,28.3902,23.8758,0
835.6968,56.5382,-67.9975,1
991.0026,61.7688,43.5629,0
1005.4159,91.0049,72.0976,1
982.5834,42.3810,-0.7231,0
968.5281,51.9081,-41.6808,0
982.2107,38.8383,63.6358,0
962.3051,57.7095,25.4411,0
992.5125,76.5385,1.4111,1
954.5704,53.0220,-77.8639,0
992.5711,96.9165,3.0326,1
1004.6489,120.4496,-69.8150,1
1030.5140,29.7346,74.0282,0
986.0498,111.7144,21.3483,1
1001.1917,53.1367,63.3060,0
996.4965,32.1705,63.0292,0
1006.0820,31.8570,69.0496,0
1027.2458,59.9349,38.2895,0
985.7975,47.2714,21.0805,0
973.6202,42.6351,-54.7149,0
980.4615,49.9291,-16.2831,0
999.9476,45.2741,-13.2718,0
992.3973,38.1197,-65.4109,0
1230.1554,44.3299,-55.1116,1
1019.8029,120.2293,51.3522,1
982.4313,55.7168,-49.9689,0
977.2364,91.7434,50.0546,1
1007.8239,57.1072,23.8236,0
1041.9857,101.9209,-12.3570,1
959.0586,57.4522,-44.7050,0
983.1078,122.6529,22.4925,1
988.1359,57.0320,21.5620,0
971.9255,38.8083,24.8439,0
974.6708,52.0804,-15.6500,0
994.4536,41.1597,79.4607,0
1007.8077,115.9130,8.8328,1
1006.0425,31.3899,-56.9904,0
853.8221,51.8135,-28.1111,1
813.6934,46.2629,-25.1542,1
1005.2250,42.0254,-55.8445,0
1209.3475,41.4689,-7.8419,1
1197.5342,46.5683,14.4789,1
985.9915,41.1594,-60.1577,0
1043.9271,31.3514,-6.1582,0
988.6774,50.1754,38.4118,0
1063.1150,59.8483,-36.6426,0
988.9310,52.8381,8.6274,0
989.2272,49.2768,-76.4951,0
1005.5049,48.1479,11.6596,0
1037.3226,40.9630,16.7013,0
989.1435,41.9734,-72.1779,0
974.1708,31.5468,14.2314,0
984.3643,113.4084,35.6873,1
986.4611,31.2325,44.5779,0
1062.2943,61.9511,70.8410,0
974.7861,32.2547,14.3338,0
781.5662,44.1045,-78.8749,1
999.9685,31.4295,-26.7299,0
1026.3489,51.1285,8.8380,0
1049.9380,57.4963,-35.9641,0
1004.0530,51.2087,-16.7876,0
1014.7106,105.1394,-28.9002,1
982.6362,60.4276,60.6603,0
941.8902,57.0823,-35.4109,0
985.3759,48.5303,69.7149,0
1037.3232,43.5739,-3.1133,0
1156.6572,60.7984,5.0585,1
1194.9336,49.5908,-64.3069,1
1004.4811,55.0760,-8.2323,0
999.3199,45.4385,-41.5404,0
985.8925,50.7301,25.8214,0
980.7672,98.3823,-16.1205,1
